rank,part_name,part_id,n_points,mean_plastic_strain,median_plastic_strain,p95_plastic_strain,max_plastic_strain,selected,selection_reason,cumulative_nodes
209,CH-TRUNK-SIDE-RR-R_443,443,1787,3.893963821610669e-06,0.0,0.0,0.0028992341831326485,False,,
210,CH-CBN-DECK-B-L_343,343,1783,3.2349807952414267e-06,0.0,0.0,0.0017640352016314864,False,,
211,OB-DOOR-RR-BRKT-T-L_260,260,207,3.220439793949481e-06,0.0,0.0,0.0008701969054527581,False,,
212,OB-DOOR-RR-BPLATE-SUPP-R_253,253,871,2.8052386369381566e-06,0.0,0.0,0.0017778972396627069,False,,
213,CH-A-PILLAR-BRKT3-L_314,314,371,2.8029933218931546e-06,0.0,0.0,0.0013759901048615575,False,,
214,OB-DOOR-RR-BPLATE-FT-T-L_246,246,361,2.792502300508204e-06,0.0,0.0,0.0010292116785421968,False,,
215,CH-RAILS-U-RR-R-REINF_610,610,4714,2.6964873995893868e-06,0.0,0.0,0.0016609211452305317,False,,
216,CH-TRUNK-TAILLIGHT-L_448,448,5678,2.51296683018154e-06,0.0,0.0,0.0023594729136675596,False,,
217,CH-RAILS-U-RR-MID-I_411,411,3478,2.2136553070595255e-06,0.0,0.0,0.000794770079664886,False,,
218,CH-ROOBOW-RR_419,419,4139,2.2084334432292962e-06,0.0,0.0,0.0027182279154658318,False,,
219,CH-TRUNK-SUPP-B-RR_444,444,4647,1.5724053810117766e-06,0.0,0.0,0.0020590126514434814,False,,
220,OB-DOOR-RR-BPLATE-FT-T-R_247,247,361,1.1239912964811083e-06,0.0,0.0,0.0006762681296095252,False,,
221,CH-RAILS-U-RR-MID-O-L_412,412,2400,9.644452347856713e-07,0.0,0.0,0.0009526923531666398,False,,
222,CH-RAILS-U-RR-L-REINF_609,609,4714,8.372440447601548e-07,0.0,0.0,0.0007732454687356949,False,,
223,CH-WHEELWELL-RR-RR-R_457,457,4653,6.09098435688793e-07,0.0,0.0,0.001304006902500987,False,,
224,CH-RAILS-U-RR-MID-O-R_413,413,2400,5.660050987899012e-07,0.0,0.0,0.00042892585042864084,False,,
225,CH-DOOR-RR-HINGE-B-L_621,621,133,5.084821168566123e-07,0.0,0.0,0.00015912498929537833,False,,
226,CH-TRUNK-SUPP-RR-I_445,445,4776,3.954525880089932e-07,0.0,0.0,0.000749541912227869,False,,
227,CH-CBN-SILL-BRKT-L_363,363,407,3.639817407474766e-07,0.0,0.0,0.00018517571152187884,False,,
228,OB-WINDSHIELD-FT_294,294,2397,2.4132287990141776e-07,0.0,0.0,0.0009640849893912673,False,,
